Place,Latitude,Longitude
Coney Island (CD13),40.5755438,-73.9707016
Bronx,40.8447819,-73.8648268
Morris Park and Bronxdale (CD11),40.846654,-73.8594241
Williamsbridge and Baychester (CD12),40.8787602,-73.8528356
Brooklyn,40.6781784,-73.9441579
Greenpoint and Williamsburg (CD1),40.7304701,-73.9515032
Fort Greene and Brooklyn Heights (CD2),40.6920638,-73.9741874
Bedford Stuyvesant (CD3),40.6872176,-73.9417735
Bushwick (CD4),40.6957755,-73.9170604
East New York and Starrett City (CD5),40.6501402,-73.8837345
Park Slope and Carroll Gardens (CD6),40.6710672,-73.9814228
Sunset Park (CD7),40.65272,-74.0093348
Crown Heights and Prospect Heights (CD8),40.6694022,-73.9422324
Belmont and East Tremont (CD6),40.8458359,-73.8919962
Kingsbridge Heights and Bedford (CD7),40.8711235,-73.8976328
Kingsbridge - Riverdale,40.8876785,-73.9133783
Northeast Bronx,40.8447819,-73.8648268
Fordham - Bronx Pk,40.8592667,-73.8984694
Pelham - Throgs Neck,40.818399,-73.8213213
Crotona -Tremont,40.8416443,-73.8859307
High Bridge - Morrisania,40.8310814,-73.9058574
Hunts Point - Mott Haven,40.8094385,-73.8803315
Greenpoint,40.7304701,-73.9515032
Downtown - Heights - Slope,33.4969375,73.0676875
Bedford Stuyvesant - Crown Heights,40.6694022,-73.9422324
East New York,40.6590529,-73.8759245
Sunset Park,40.65272,-74.0093348
Borough Park,40.6350319,-73.9921028
East Flatbush - Flatbush,40.6342338,-73.9491561
Canarsie - Flatlands,40.6402325,-73.9060579
Bensonhurst - Bay Ridge,40.6158056,-73.9999512
Coney Island - Sheepshead Bay,40.5755438,-73.9707016
Williamsburg - Bushwick,40.7081156,-73.9570696
Washington Heights,40.8417082,-73.9393554
Central Harlem - Morningside Heights,40.8089419,-73.9482305
East Harlem,40.7957399,-73.9389213
Upper West Side,40.7870106,-73.9753676
Upper East Side,40.7735649,-73.9565551
Chelsea - Clinton,,
Gramercy Park - Murray Hill,40.7367783,-73.9844722
Greenwich Village - SoHo,40.7335719,-74.0027418
Union Square - Lower East Side,40.715033,-73.9842724
Lower Manhattan,40.7208595,-74.0006686
Long Island City - Astoria,40.744679,-73.9485424
West Queens,40.7282239,-73.7948516
Flushing - Clearview,40.7674987,-73.833079
